batch	cell_cycle	id	species
-	ES	1CDX2.435	-
-	ES	1CDX2.374	-
-	ES	1CDX2.58	-
-	ES	1CDX2.52	-
-	ES	1CDX2.41	-
-	ES	1CDX2.287	-
-	ES	1CDX2.74	-
-	ES	1CDX2.213	-
-	ES	1CDX2.136	-
-	ES	1CDX2.407	-
-	ES	1CDX2.211	-
-	ES	1CDX2.264	-
-	ES	1CDX2.47	-
-	ES	1CDX2.227	-
-	ES	1CDX2.214	-
-	ES	1CDX2.51	-
-	ES	1CDX2.121	-
-	ES	1CDX2.146	-
-	ES	1CDX2.203	-
-	ES	1CDX2.257	-
-	ES	1CDX2.95	-
-	ES	1CDX2.221	-
-	ES	1CDX2.326	-
-	ES	1CDX2.436	-
-	ES	1CDX2.31	-
-	ES	1CDX2.102	-
-	ES	1CDX2.163	-
-	ES	1CDX2.413	-
-	ES	1CDX2.4	-
-	ES	1CDX2.76	-
-	ES	1CDX2.124	-
-	ES	1CDX2.284	-
-	ES	1CDX2.116	-
-	ES	1CDX2.93	-
-	ES	1CDX2.14	-
-	ES	1CDX2.26	-
-	ES	1CDX2.442	-
-	ES	1CDX2.336	-
-	ES	1CDX2.421	-
-	ES	1CDX2.3	-
-	ES	1CDX2.196	-
-	ES	1CDX2.1	-
-	ES	1CDX2.243	-
-	ES	1CDX2.263	-
-	ES	1CDX2.304	-
-	ES	1CDX2.272	-
-	ES	1CDX2.43	-
-	ES	1CDX2.423	-
-	ES	1CDX2.365	-
-	ES	1CDX2.408	-
-	ES	1CDX2.126	-
-	ES	1CDX2.27	-
-	ES	1CDX2.186	-
-	ES	1CDX2.122	-
-	ES	1CDX2.447	-
-	ES	1CDX2.33	-
-	ES	1CDX2.445	-
-	ES	1CDX2.446	-
-	ES	1CDX2.84	-
-	ES	1CDX2.427	-
-	ES	1CDX2.276	-
-	ES	1CDX2.313	-
-	ES	1CDX2.197	-
-	ES	1CDX2.305	-
-	ES	1CDX2.113	-
-	ES	1CDX2.225	-
-	ES	1CDX2.385	-
-	ES	1CDX2.53	-
-	ES	1CDX2.455	-
-	ES	1CDX2.195	-
-	ES	1CDX2.476	-
-	ES	1CDX2.432	-
-	ES	1CDX2.401	-
-	ES	1CDX2.131	-
-	ES	1CDX2.353	-
-	ES	1CDX2.215	-
-	ES	1CDX2.254	-
-	ES	1CDX2.483	-
-	ES	1CDX2.456	-
-	ES	1CDX2.346	-
-	ES	1CDX2.36	-
-	ES	1CDX2.15	-
-	ES	1CDX2.384	-
-	ES	1CDX2.232	-
-	ES	1CDX2.64	-
-	ES	1CDX2.416	-
-	ES	1CDX2.393	-
-	ES	1CDX2.367	-
-	ES	1CDX2.315	-
-	ES	1CDX2.296	-
-	ES	1CDX2.297	-
-	ES	1CDX2.96	-
-	ES	1CDX2.22	-
-	ES	1CDX2.187	-
-	ES	1CDX2.354	-
-	ES	1CDX2.184	-
-	ES	1CDX2.295	-
-	ES	1CDX2.92	-
-	ES	1CDX2.55	-
-	ES	1CDX2.355	-
-	ES	1CDX2.293	-
-	ES	1CDX2.433	-
-	ES	1CDX2.464	-
-	ES	1CDX2.57	-
-	ES	1CDX2.267	-
-	ES	1CDX2.333	-
-	ES	1CDX2.444	-
-	ES	1CDX2.345	-
-	ES	1CDX2.262	-
-	ES	1CDX2.303	-
-	ES	1CDX2.343	-
-	ES	1CDX2.242	-
-	ES	1CDX2.72	-
-	ES	1CDX2.241	-
-	ES	1CDX2.103	-
-	ES	1CDX2.467	-
-	ES	1CDX2.167	-
-	ES	1CDX2.424	-
-	ES	1CDX2.11	-
-	ES	1CDX2.237	-
-	ES	1CDX2.377	-
-	ES	1CDX2.482	-
-	ES	1CDX2.488	-
-	ES	1CDX2.375	-
-	ES	1CDX2.245	-
-	ES	1CDX2.164	-
-	ES	1CDX2.155	-
-	ES	1CDX2.166	-
-	ES	1CDX2.286	-
-	ES	1CDX2.356	-
-	ES	1CDX2.366	-
-	ES	1CDX2.372	-
-	ES	1CDX2.468	-
-	ES	1CDX2.117	-
-	ES	1CDX2.324	-
-	ES	1CDX2.362	-
-	ES	1CDX2.331	-
-	ES	1CDX2.222	-
-	ES	1CDX2.105	-
-	ES	1CDX2.172	-
-	ES	1CDX2.391	-
-	ES	1CDX2.24	-
-	ES	1CDX2.202	-
-	ES	1CDX2.405	-
-	ES	1CDX2.466	-
-	ES	1CDX2.142	-
-	ES	1CDX2.392	-
-	ES	1CDX2.21	-
-	ES	1CDX2.162	-
-	ES	1CDX2.205	-
-	ES	1CDX2.104	-
-	ES	1CDX2.151	-
-	ES	1CDX2.325	-
-	ES	1CDX2.46	-
-	ES	1CDX2.86	-
-	ES	1CDX2.363	-
-	ES	1CDX2.125	-
-	ES	1CDX2.348	-
-	ES	1CDX2.13	-
-	ES	1CDX2.437	-
-	ES	1CDX2.63	-
-	ES	1CDX2.282	-
-	ES	1CDX2.224	-
-	ES	1CDX2.335	-
-	ES	1CDX2.87	-
-	ES	1CDX2.67	-
-	ES	1CDX2.85	-
-	ES	1CDX2.77	-
-	ES	1CDX2.314	-
-	ES	1CDX2.332	-
-	ES	1CDX2.97	-
-	ES	1CDX2.42	-
-	ES	1CDX2.404	-
-	ES	1CDX2.323	-
-	ES	1CDX2.91	-
-	ES	1CDX2.35	-
-	ES	1CDX2.395	-
-	ES	1CDX2.382	-
-	ES	1CDX2.425	-
-	ES	1CDX2.16	-
-	ES	1CDX2.364	-
-	ES	1CDX2.306	-
-	ES	1CDX2.181	-
-	ES	1CDX2.112	-
-	ES	1CDX2.394	-
-	ES	1CDX2.123	-
-	ES	1CDX2.327	-
-	ES	1CDX2.193	-
-	ES	1CDX2.475	-
-	ES	1CDX2.192	-
-	ES	1CDX2.412	-
-	ES	1CDX2.274	-
-	ES	1CDX2.75	-
-	ES	1CDX2.37	-
-	ES	1CDX2.114	-
-	ES	1CDX2.171	-
-	ES	1CDX2.82	-
-	ES	1CDX2.23	-
-	ES	1CDX2.101	-
-	ES	1CDX2.334	-
-	ES	1CDX2.132	-
-	ES	1CDX2.383	-
-	ES	1CDX2.481	-
-	ES	1CDX2.147	-
-	ES	1CDX2.443	-
-	ES	1CDX2.301	-
-	ES	1CDX2.144	-
-	ES	1CDX2.275	-
-	ES	1CDX2.34	-
-	ES	1CDX2.204	-
-	ES	1CDX2.273	-
-	ES	1CDX2.54	-
-	ES	1CDX2.182	-
-	ES	1CDX2.48	-
-	G1	1CDX1.165	-
-	G1	1CDX1.232	-
-	G1	1CDX1.421	-
-	G1	1CDX1.257	-
-	G1	1CDX1.153	-
-	G1	1CDX1.303	-
-	G1	1CDX1.375	-
-	G1	1CDX1.364	-
-	G1	1CDX1.383	-
-	G1	1CDX1.403	-
-	G1	1CDX1.406	-
-	G1	1CDX1.476	-
-	G1	1CDX1.197	-
-	G1	1CDX1.56	-
-	G1	1CDX1.216	-
-	G1	1CDX1.254	-
-	G1	1CDX1.44	-
-	G1	1CDX1.83	-
-	G1	1CDX1.94	-
-	G1	1CDX1.81	-
-	G1	1CDX1.293	-
-	G1	1CDX1.357	-
-	G1	1CDX1.136	-
-	G1	1CDX1.47	-
-	G1	1CDX1.413	-
-	G1	1CDX1.283	-
-	G1	1CDX1.38	-
-	G1	1CDX1.193	-
-	G1	1CDX1.444	-
-	G1	1CDX1.482	-
-	G1	1CDX1.115	-
-	G1	1CDX1.95	-
-	G1	1CDX1.186	-
-	G1	1CDX1.315	-
-	G1	1CDX1.36	-
-	G1	1CDX1.108	-
-	G1	1CDX1.342	-
-	G1	1CDX1.152	-
-	G1	1CDX1.143	-
-	G1	1CDX1.73	-
-	G1	1CDX1.27	-
-	G1	1CDX1.445	-
-	G1	1CDX1.388	-
-	G1	1CDX1.434	-
-	G1	1CDX1.423	-
-	G1	1CDX1.177	-
-	G1	1CDX1.265	-
-	G1	1CDX1.224	-
-	G1	1CDX1.182	-
-	G1	1CDX1.245	-
-	G1	1CDX1.116	-
-	G1	1CDX1.207	-
-	G1	1CDX1.233	-
-	G1	1CDX1.322	-
-	G1	1CDX1.411	-
-	G1	1CDX1.85	-
-	G1	1CDX1.242	-
-	G1	1CDX1.147	-
-	G1	1CDX1.285	-
-	G1	1CDX1.45	-
-	G1	1CDX1.484	-
-	G1	1CDX1.264	-
-	G1	1CDX1.464	-
-	G1	1CDX1.157	-
-	G1	1CDX1.387	-
-	G1	1CDX1.372	-
-	G1	1CDX1.412	-
-	G1	1CDX1.41	-
-	G1	1CDX1.432	-
-	G1	1CDX1.53	-
-	G1	1CDX1.286	-
-	G1	1CDX1.296	-
-	G1	1CDX1.346	-
-	G1	1CDX1.202	-
-	G1	1CDX1.127	-
-	G1	1CDX1.32	-
-	G1	1CDX1.176	-
-	G1	1CDX1.253	-
-	G1	1CDX1.194	-
-	G1	1CDX1.171	-
-	G1	1CDX1.304	-
-	G1	1CDX1.25	-
-	G1	1CDX1.324	-
-	G1	1CDX1.398	-
-	G1	1CDX1.355	-
-	G1	1CDX1.122	-
-	G1	1CDX1.442	-
-	G1	1CDX1.33	-
-	G1	1CDX1.211	-
-	G1	1CDX1.107	-
-	G1	1CDX1.475	-
-	G1	1CDX1.183	-
-	G1	1CDX1.22	-
-	G1	1CDX1.284	-
-	G1	1CDX1.77	-
-	G1	1CDX1.103	-
-	G1	1CDX1.1	-
-	G1	1CDX1.417	-
-	G1	1CDX1.381	-
-	G1	1CDX1.487	-
-	G1	1CDX1.347	-
-	G1	1CDX1.121	-
-	G1	1CDX1.312	-
-	G1	1CDX1.2	-
-	G1	1CDX1.424	-
-	G1	1CDX1.123	-
-	G1	1CDX1.205	-
-	G1	1CDX1.117	-
-	G1	1CDX1.128	-
-	G1	1CDX1.267	-
-	G1	1CDX1.162	-
-	G1	1CDX1.214	-
-	G1	1CDX1.76	-
-	G1	1CDX1.447	-
-	G1	1CDX1.391	-
-	G1	1CDX1.345	-
-	G1	1CDX1.82	-
-	G1	1CDX1.167	-
-	G1	1CDX1.452	-
-	G1	1CDX1.24	-
-	G1	1CDX1.435	-
-	G1	1CDX1.323	-
-	G1	1CDX1.87	-
-	G1	1CDX1.281	-
-	G1	1CDX1.144	-
-	G1	1CDX1.373	-
-	G1	1CDX1.187	-
-	G1	1CDX1.275	-
-	G1	1CDX1.125	-
-	G1	1CDX1.142	-
-	G1	1CDX1.415	-
-	G1	1CDX1.317	-
-	G1	1CDX1.472	-
-	G1	1CDX1.325	-
-	G1	1CDX1.26	-
-	G1	1CDX1.3	-
-	G1	1CDX1.457	-
-	G1	1CDX1.105	-
-	G1	1CDX1.17	-
-	G1	1CDX1.92	-
-	G1	1CDX1.23	-
-	G1	1CDX1.12	-
-	G1	1CDX1.201	-
-	G1	1CDX1.102	-
-	G1	1CDX1.62	-
-	G1	1CDX1.134	-
-	G1	1CDX1.354	-
-	G1	1CDX1.145	-
-	G1	1CDX1.67	-
-	G1	1CDX1.333	-
-	G1	1CDX1.66	-
-	G1	1CDX1.138	-
-	G1	1CDX1.151	-
-	G1	1CDX1.71	-
-	G1	1CDX1.262	-
-	G1	1CDX1.114	-
-	G1	1CDX1.277	-
-	G1	1CDX1.101	-
-	G1	1CDX1.222	-
-	G1	1CDX1.252	-
-	G1	1CDX1.416	-
-	G1	1CDX1.437	-
-	G1	1CDX1.43	-
-	G1	1CDX1.54	-
-	G1	1CDX1.455	-
-	G1	1CDX1.477	-
-	G1	1CDX1.371	-
-	G1	1CDX1.155	-
-	G1	1CDX1.397	-
-	G1	1CDX1.466	-
-	G1	1CDX1.326	-
-	G1	1CDX1.337	-
-	G1	1CDX1.51	-
-	G1	1CDX1.266	-
-	G1	1CDX1.126	-
-	G1	1CDX1.305	-
-	G1	1CDX1.362	-
-	G1	1CDX1.234	-
-	G1	1CDX1.396	-
-	G1	1CDX1.96	-
-	G1	1CDX1.146	-
-	G1	1CDX1.124	-
-	G1	1CDX1.426	-
-	G1	1CDX1.156	-
-	G1	1CDX1.5	-
-	G1	1CDX1.273	-
-	G1	1CDX1.307	-
-	G1	1CDX1.195	-
-	G1	1CDX1.313	-
-	G1	1CDX1.244	-
-	G1	1CDX1.203	-
-	G1	1CDX1.185	-
-	G1	1CDX1.443	-
-	G1	1CDX1.258	-
-	G1	1CDX1.422	-
-	G1	1CDX1.174	-
-	G1	1CDX1.106	-
-	G1	1CDX1.343	-
-	G1	1CDX1.436	-
-	G1	1CDX1.13	-
-	G1	1CDX1.164	-
-	G1	1CDX1.352	-
-	G1	1CDX1.453	-
-	G1	1CDX1.353	-
-	G1	1CDX1.93	-
-	G1	1CDX1.263	-
-	G1	1CDX1.175	-
-	G1	1CDX1.42	-
-	G1	1CDX1.37	-
-	G1	1CDX1.276	-
-	G1	1CDX1.215	-
-	G1	1CDX1.404	-
-	G1	1CDX1.86	-
-	G1	1CDX1.454	-
-	G1	1CDX1.365	-
-	G1	1CDX1.405	-
-	G1	1CDX1.394	-
-	G1	1CDX1.327	-
-	G1	1CDX1.384	-
-	G1	1CDX1.306	-
-	G1	1CDX1.61	-
-	G1	1CDX1.395	-
-	G1	1CDX1.334	-
-	G1	1CDX1.35	-
-	G1	1CDX1.297	-
-	G1	1CDX1.104	-
-	G1	1CDX1.335	-
-	G1	1CDX1.468	-
-	G1	1CDX1.34	-
-	G1	1CDX1.483	-
-	G1	1CDX1.295	-
-	G1	1CDX1.213	-
-	G1	1CDX1.272	-
-	G1	1CDX1.64	-
-	G1	1CDX1.314	-
-	G1	1CDX1.363	-
-	G1	1CDX1.235	-
-	G1	1CDX1.414	-
-	G1	1CDX1.72	-
-	G1	1CDX1.172	-
-	G1	1CDX1.63	-
-	G1	1CDX1.204	-
-	G1	1CDX1.366	-
-	G1	1CDX1.221	-
-	G1	1CDX1.393	-
-	G1	1CDX1.191	-
-	G1	1CDX1.132	-
-	G1	1CDX1.141	-
-	G1	1CDX1.223	-
-	G1	1CDX1.386	-
-	G1	1CDX1.74	-
-	G1	1CDX1.166	-
-	G1	1CDX1.75	-
-	G1	1CDX1.46	-
-	G1	1CDX1.374	-
-	G1	1CDX1.402	-
-	G1	1CDX1.344	-
-	G1	1CDX1.274	-
-	G1	1CDX1.425	-
-	G1	1CDX1.111	-
-	G1	1CDX1.433	-
-	G1	1CDX1.14	-
-	G1	1CDX1.161	-
-	G1	1CDX1.385	-
-	G1	1CDX1.52	-
-	G1	1CDX1.474	-
-	G1	1CDX1.4	-
-	G1	1CDX1.236	-
-	G1	1CDX1.407	-
-	G1	1CDX1.113	-
-	G1	1CDX1.196	-
-	G1	1CDX1.226	-
-	G1	1CDX1.294	-
-	G1	1CDX1.287	-
-	G1	1CDX1.427	-
-	G1	1CDX1.456	-
-	G1	1CDX1.154	-
-	G1	1CDX1.192	-
-	G1	1CDX1.255	-
-	G1	1CDX1.392	-
-	G2	1CDX4.135	-
-	G2	1CDX4.353	-
-	G2	1CDX4.245	-
-	G2	1CDX4.352	-
-	G2	1CDX4.438	-
-	G2	1CDX4.147	-
-	G2	1CDX4.377	-
-	G2	1CDX4.283	-
-	G2	1CDX4.27	-
-	G2	1CDX4.307	-
-	G2	1CDX4.91	-
-	G2	1CDX4.356	-
-	G2	1CDX4.435	-
-	G2	1CDX4.226	-
-	G2	1CDX4.81	-
-	G2	1CDX4.325	-
-	G2	1CDX4.486	-
-	G2	1CDX4.204	-
-	G2	1CDX4.11	-
-	G2	1CDX4.137	-
-	G2	1CDX4.455	-
-	G2	1CDX4.316	-
-	G2	1CDX4.157	-
-	G2	1CDX4.143	-
-	G2	1CDX4.387	-
-	G2	1CDX4.187	-
-	G2	1CDX4.32	-
-	G2	1CDX4.343	-
-	G2	1CDX4.55	-
-	G2	1CDX4.236	-
-	G2	1CDX4.103	-
-	G2	1CDX4.167	-
-	G2	1CDX4.412	-
-	G2	1CDX4.234	-
-	G2	1CDX4.111	-
-	G2	1CDX4.72	-
-	G2	1CDX4.154	-
-	G2	1CDX4.54	-
-	G2	1CDX4.172	-
-	G2	1CDX4.448	-
-	G2	1CDX4.63	-
-	G2	1CDX4.456	-
-	G2	1CDX4.346	-
-	G2	1CDX4.482	-
-	G2	1CDX4.323	-
-	G2	1CDX4.321	-
-	G2	1CDX4.462	-
-	G2	1CDX4.256	-
-	G2	1CDX4.302	-
-	G2	1CDX4.232	-
-	G2	1CDX4.174	-
-	G2	1CDX4.375	-
-	G2	1CDX4.102	-
-	G2	1CDX4.468	-
-	G2	1CDX4.484	-
-	G2	1CDX4.165	-
-	G2	1CDX4.392	-
-	G2	1CDX4.452	-
-	G2	1CDX4.82	-
-	G2	1CDX4.297	-
-	G2	1CDX4.142	-
-	G2	1CDX4.317	-
-	G2	1CDX4.397	-
-	G2	1CDX4.437	-
-	G2	1CDX4.386	-
-	G2	1CDX4.337	-
-	G2	1CDX4.272	-
-	G2	1CDX4.311	-
-	G2	1CDX4.101	-
-	G2	1CDX4.472	-
-	G2	1CDX4.4	-
-	G2	1CDX4.121	-
-	G2	1CDX4.476	-
-	G2	1CDX4.285	-
-	G2	1CDX4.151	-
-	G2	1CDX4.62	-
-	G2	1CDX4.341	-
-	G2	1CDX4.431	-
-	G2	1CDX4.345	-
-	G2	1CDX4.57	-
-	G2	1CDX4.267	-
-	G2	1CDX4.268	-
-	G2	1CDX4.291	-
-	G2	1CDX4.458	-
-	G2	1CDX4.216	-
-	G2	1CDX4.156	-
-	G2	1CDX4.74	-
-	G2	1CDX4.258	-
-	G2	1CDX4.153	-
-	G2	1CDX4.37	-
-	G2	1CDX4.434	-
-	G2	1CDX4.252	-
-	G2	1CDX4.6	-
-	G2	1CDX4.146	-
-	G2	1CDX4.3	-
-	G2	1CDX4.166	-
-	G2	1CDX4.287	-
-	G2	1CDX4.177	-
-	G2	1CDX4.235	-
-	G2	1CDX4.273	-
-	G2	1CDX4.443	-
-	G2	1CDX4.77	-
-	G2	1CDX4.34	-
-	G2	1CDX4.203	-
-	G2	1CDX4.282	-
-	G2	1CDX4.16	-
-	G2	1CDX4.17	-
-	G2	1CDX4.237	-
-	G2	1CDX4.106	-
-	G2	1CDX4.164	-
-	G2	1CDX4.161	-
-	G2	1CDX4.391	-
-	G2	1CDX4.65	-
-	G2	1CDX4.425	-
-	G2	1CDX4.372	-
-	G2	1CDX4.475	-
-	G2	1CDX4.382	-
-	G2	1CDX4.357	-
-	G2	1CDX4.48	-
-	G2	1CDX4.355	-
-	G2	1CDX4.127	-
-	G2	1CDX4.415	-
-	G2	1CDX4.73	-
-	G2	1CDX4.473	-
-	G2	1CDX4.45	-
-	G2	1CDX4.354	-
-	G2	1CDX4.465	-
-	G2	1CDX4.134	-
-	G2	1CDX4.144	-
-	G2	1CDX4.363	-
-	G2	1CDX4.85	-
-	G2	1CDX4.162	-
-	G2	1CDX4.367	-
-	G2	1CDX4.105	-
-	G2	1CDX4.265	-
-	G2	1CDX4.197	-
-	G2	1CDX4.14	-
-	G2	1CDX4.133	-
-	G2	1CDX4.214	-
-	G2	1CDX4.406	-
-	G2	1CDX4.47	-
-	G2	1CDX4.413	-
-	G2	1CDX4.422	-
-	G2	1CDX4.66	-
-	G2	1CDX4.64	-
-	G2	1CDX4.86	-
-	G2	1CDX4.292	-
-	G2	1CDX4.242	-
-	G2	1CDX4.255	-
-	G2	1CDX4.243	-
-	G2	1CDX4.254	-
-	G2	1CDX4.207	-
-	G2	1CDX4.248	-
-	G2	1CDX4.175	-
-	G2	1CDX4.182	-
-	G2	1CDX4.178	-
-	G2	1CDX4.261	-
-	G2	1CDX4.393	-
-	G2	1CDX4.94	-
-	G2	1CDX4.173	-
-	G2	1CDX4.136	-
-	G2	1CDX4.13	-
-	G2	1CDX4.115	-
-	G2	1CDX4.253	-
-	G2	1CDX4.335	-
-	G2	1CDX4.67	-
-	G2	1CDX4.206	-
-	G2	1CDX4.483	-
-	G2	1CDX4.314	-
-	G2	1CDX4.35	-
-	G2	1CDX4.2	-
-	G2	1CDX4.454	-
-	G2	1CDX4.26	-
-	G2	1CDX4.31	-
-	G2	1CDX4.158	-
-	G2	1CDX4.371	-
-	G2	1CDX4.293	-
-	G2	1CDX4.315	-
-	G2	1CDX4.466	-
-	G2	1CDX4.286	-
-	G2	1CDX4.24	-
-	G2	1CDX4.463	-
-	G2	1CDX4.185	-
-	G2	1CDX4.396	-
-	G2	1CDX4.332	-
-	G2	1CDX4.457	-
-	G2	1CDX4.132	-
-	G2	1CDX4.75	-
-	G2	1CDX4.394	-
-	G2	1CDX4.117	-
-	G2	1CDX4.145	-
-	G2	1CDX4.416	-
-	G2	1CDX4.152	-
-	G2	1CDX4.444	-
-	G2	1CDX4.51	-
-	G2	1CDX4.176	-
-	G2	1CDX4.12	-
-	G2	1CDX4.257	-
-	G2	1CDX4.418	-
-	G2	1CDX4.107	-
-	G2	1CDX4.336	-
-	G2	1CDX4.124	-
-	G2	1CDX4.474	-
-	G2	1CDX4.163	-
-	G2	1CDX4.194	-
-	G2	1CDX4.403	-
-	G2	1CDX4.171	-
-	G2	1CDX4.426	-
-	G2	1CDX4.246	-
-	G2	1CDX4.366	-
-	G2	1CDX4.202	-
-	G2	1CDX4.15	-
-	G2	1CDX4.33	-
-	G2	1CDX4.385	-
-	G2	1CDX4.467	-
-	G2	1CDX4.92	-
-	G2	1CDX4.281	-
-	G2	1CDX4.53	-
-	G2	1CDX4.87	-
-	G2	1CDX4.84	-
-	G2	1CDX4.303	-
-	G2	1CDX4.278	-
-	G2	1CDX4.41	-
-	G2	1CDX4.38	-
-	G2	1CDX4.276	-
-	G2	1CDX4.262	-
-	G2	1CDX4.247	-
-	G2	1CDX4.432	-
-	G2	1CDX4.61	-
-	G2	1CDX4.277	-
-	G2	1CDX4.365	-
-	G2	1CDX4.275	-
-	G2	1CDX4.113	-
-	G2	1CDX4.477	-
-	G2	1CDX4.186	-
-	G2	1CDX4.43	-
-	G2	1CDX4.301	-
-	G2	1CDX4.417	-
-	G2	1CDX4.125	-
-	G2	1CDX4.333	-
-	G2	1CDX4.296	-
-	G2	1CDX4.334	-
-	G2	1CDX4.424	-
-	G2	1CDX4.453	-
-	G2	1CDX4.313	-
-	G2	1CDX4.76	-
-	G2	1CDX4.348	-
-	G2	1CDX4.241	-
-	G2	1CDX4.464	-
-	G2	1CDX4.148	-
-	G2	1CDX4.284	-
-	G2	1CDX4.294	-
-	G2	1CDX4.104	-
-	G2	1CDX4.224	-
-	G2	1CDX4.342	-
-	G2	1CDX4.442	-
-	G2	1CDX4.274	-
-	G2	1CDX4.205	-
-	G2	1CDX4.264	-
-	G2	1CDX4.212	-
-	G2	1CDX4.217	-
-	G2	1CDX4.487	-
-	G2	1CDX4.36	-
-	G2	1CDX4.263	-
-	G2	1CDX4.305	-
-	G2	1CDX4.347	-
-	G2	1CDX4.244	-
-	G2	1CDX4.46	-
-	G2	1CDX4.42	-
-	G2	1CDX4.71	-
-	G2	1CDX4.195	-
-	G2	1CDX4.327	-
-	G2	1CDX4.114	-
-	G2	1CDX4.374	-
-	G2	1CDX4.22	-
-	G2	1CDX4.411	-
-	G2	1CDX4.485	-
-	G2	1CDX4.1	-
-	G2	1CDX4.423	-
-	G2	1CDX4.192	-
-	G2	1CDX4.25	-
-	G2	1CDX4.193	-
-	G2	1CDX4.116	-
-	G2	1CDX4.222	-
-	G2	1CDX4.191	-
-	G2	1CDX4.405	-
-	G2	1CDX4.266	-
-	G2	1CDX4.376	-
-	G2	1CDX4.83	-
-	G2	1CDX4.344	-
-	G2	1CDX4.421	-
-	G2	1CDX4.433	-
-	G2	1CDX4.126	-
-	G2	1CDX4.404	-
-	G2	1CDX4.381	-
-	G2	1CDX4.304	-
-	G2	1CDX4.233	-
-	G2	1CDX4.364	-
-	G2	1CDX4.428	-
-	G2	1CDX4.223	-
-	G2	1CDX4.373	-
-	G2	1CDX4.201	-
-	G2	1CDX4.95	-
-	G2	1CDX4.441	-
-	G2	1CDX4.183	-
-	G2	1CDX4.312	-
-	G2	1CDX4.324	-
-	G2	1CDX4.447	-
-	G2	1CDX4.23	-
-	G2	1CDX4.414	-
-	G2	1CDX4.155	-
-	G2	1CDX4.383	-
-	G2	1CDX4.326	-
-	G2	1CDX4.97	-
-	G2	1CDX4.52	-
-	G2	1CDX4.225	-
-	G2	1CDX4.446	-
-	G2	1CDX4.295	-
-	G2	1CDX4.93	-
-	G2	1CDX4.407	-
-	G2	1CDX4.5	-
-	G2	1CDX4.181	-
-	G2	1CDX4.384	-
-	G2	1CDX4.436	-
-	G2	1CDX4.221	-
-	G2	1CDX4.251	-
-	MS	1CDX3.276	-
-	MS	1CDX3.56	-
-	MS	1CDX3.395	-
-	MS	1CDX3.34	-
-	MS	1CDX3.365	-
-	MS	1CDX3.97	-
-	MS	1CDX3.192	-
-	MS	1CDX3.334	-
-	MS	1CDX3.133	-
-	MS	1CDX3.142	-
-	MS	1CDX3.353	-
-	MS	1CDX3.242	-
-	MS	1CDX3.127	-
-	MS	1CDX3.5	-
-	MS	1CDX3.345	-
-	MS	1CDX3.73	-
-	MS	1CDX3.173	-
-	MS	1CDX3.352	-
-	MS	1CDX3.151	-
-	MS	1CDX3.124	-
-	MS	1CDX3.95	-
-	MS	1CDX3.486	-
