id	batch	species	cell_line
254	ML1	human	HeLa
256	ML1	human	HAP1
258	ML1	human	HeLa
259	ML1	human	HeLa
261	ML1	human	HeLa
264	ML1	human	HeLa
265	ML1	human	HeLa
267	ML1	human	HeLa
269	ML1	human	HAP1
270	ML1	human	HeLa
271	ML1	human	HAP1
273	ML1	human	HeLa
276	ML1	human	HAP1
277	ML1	human	HeLa
279	ML1	human	HAP1
281	ML1	human	HeLa
286	ML1	human	HAP1
289	ML1	human	HeLa
290	ML1	human	HAP1
291	ML1	human	HeLa
292	ML1	human	HAP1
293	ML1	human	HeLa
295	ML1	human	HAP1
296	ML1	human	HAP1
301	ML1	human	HAP1
302	ML1	human	HAP1
304	ML1	human	HAP1
307	ML1	human	HeLa
308	ML1	human	HeLa
310	ML1	human	HAP1
313	ML1	human	HeLa
316	ML1	human	HAP1
320	ML1	human	HeLa
321	ML1	human	HeLa
322	ML1	human	HAP1
324	ML1	human	HAP1
325	ML1	human	HeLa
326	ML1	human	HeLa
328	ML1	human	HAP1
330	ML1	human	HeLa
331	ML1	human	HeLa
335	ML1	human	HAP1
341	ML1	human	HeLa
344	ML1	human	HeLa
345	ML1	human	HAP1
348	ML1	human	HAP1
350	ML1	human	HeLa
354	ML1	human	HeLa
355	ML1	human	HAP1
356	ML1	human	HAP1
359	ML1	human	HAP1
361	ML1	human	HAP1
364	ML1	human	HeLa
365	ML1	human	HeLa
366	ML1	human	HAP1
367	ML1	human	HeLa
368	ML1	human	HAP1
369	ML1	human	HAP1
370	ML1	human	HAP1
371	ML1	human	HeLa
373	ML1	human	HAP1
374	ML1	human	HAP1
376	ML1	human	HAP1
378	ML1	human	HeLa
383	ML1	human	HeLa
386	ML1	human	HeLa
387	ML1	human	HeLa
390	ML1	human	HAP1
391	ML1	human	HeLa
393	ML1	human	HAP1
395	ML1	human	HAP1
398	ML1	human	HAP1
403	ML1	human	HeLa
406	ML1	human	HAP1
407	ML1	human	HeLa
408	ML1	human	HAP1
409	ML1	human	HAP1
413	ML1	human	HeLa
415	ML1	human	HAP1
417	ML1	human	HeLa
418	ML1	human	HAP1
419	ML1	human	HAP1
420	ML1	human	HeLa
421	ML1	human	HAP1
426	ML1	human	HeLa
427	ML1	human	HeLa
430	ML1	human	HAP1
431	ML1	human	HeLa
434	ML1	human	HeLa
438	ML1	human	HAP1
440	ML1	human	HeLa
441	ML1	human	HAP1
443	ML1	human	HeLa
444	ML1	human	HeLa
450	ML1	human	HAP1
451	ML1	human	HAP1
452	ML1	human	HeLa
453	ML1	human	HeLa
459	ML1	human	HAP1
460	ML1	human	HeLa
462	ML1	human	HAP1
463	ML1	human	HAP1
465	ML1	human	HeLa
466	ML1	human	HAP1
469	ML1	human	HAP1
470	ML1	human	HeLa
473	ML1	human	HAP1
474	ML1	human	HeLa
479	ML1	human	HeLa
480	ML1	human	HAP1
487	ML1	human	HAP1
489	ML1	human	HeLa
490	ML1	human	HAP1
491	ML1	human	HAP1
493	ML1	human	HeLa
494	ML1	human	HAP1
495	ML1	human	HeLa
496	ML1	human	HeLa
498	ML1	human	HeLa
500	ML1	human	HAP1
501	ML1	human	HeLa
502	ML1	human	HeLa
503	ML1	human	HAP1
505	ML1	human	HAP1
506	ML1	human	HeLa
507	ML1	human	HeLa
508	ML1	human	HeLa
509	ML1	human	HeLa
510	ML1	human	HAP1
511	ML1	human	HAP1
512	ML1	human	HAP1
513	ML1	human	HeLa
515	ML1	human	HAP1
516	ML1	human	HeLa
517	ML1	human	HAP1
518	ML1	human	HAP1
520	ML1	human	HeLa
523	ML1	human	HeLa
527	ML1	human	HAP1
529	ML1	human	HAP1
531	ML1	human	HAP1
532	ML1	human	HeLa
533	ML1	human	HAP1
535	ML1	human	HeLa
536	ML1	human	HAP1
537	ML1	human	HAP1
538	ML1	human	HAP1
541	ML1	human	HAP1
546	ML1	human	HAP1
548	ML1	human	HAP1
552	ML1	human	HAP1
553	ML1	human	HeLa
554	ML1	human	HeLa
555	ML1	human	HAP1
557	ML1	human	HeLa
558	ML1	human	HAP1
559	ML1	human	HeLa
561	ML1	human	HAP1
565	ML1	human	HAP1
566	ML1	human	HAP1
567	ML1	human	HeLa
569	ML1	human	HeLa
571	ML1	human	HeLa
573	ML1	human	HeLa
575	ML1	human	HeLa
576	ML1	human	HAP1
578	ML1	human	HAP1
583	ML1	human	HAP1
585	ML1	human	HAP1
586	ML1	human	HeLa
587	ML1	human	HAP1
588	ML1	human	HAP1
591	ML1	human	HAP1
592	ML1	human	HAP1
595	ML1	human	HeLa
596	ML1	human	HeLa
597	ML1	human	HAP1
598	ML1	human	HeLa
603	ML1	human	HeLa
604	ML1	human	HeLa
605	ML1	human	HAP1
606	ML1	human	HAP1
612	ML1	human	HeLa
613	ML1	human	HAP1
615	ML1	human	HeLa
616	ML1	human	HAP1
617	ML1	human	HAP1
618	ML1	human	HAP1
622	ML1	human	HAP1
624	ML1	human	HAP1
626	ML1	human	HeLa
628	ML1	human	HAP1
630	ML1	human	HeLa
631	ML1	human	HAP1
633	ML1	human	HAP1
634	ML1	human	HAP1
635	ML1	human	HAP1
636	ML1	human	HAP1
637	ML1	human	HAP1
639	ML1	human	HAP1
645	ML1	human	HeLa
646	ML1	human	HAP1
648	ML1	human	HeLa
653	ML1	human	HAP1
654	ML1	human	HeLa
657	ML1	human	HAP1
660	ML1	human	HAP1
661	ML1	human	HAP1
665	ML1	human	HeLa
666	ML1	human	HAP1
668	ML1	human	HeLa
669	ML1	human	HeLa
671	ML1	human	HeLa
673	ML1	human	HAP1
674	ML1	human	HeLa
676	ML1	human	HAP1
677	ML1	human	HAP1
678	ML1	human	HeLa
681	ML1	human	HAP1
682	ML1	human	HAP1
685	ML1	human	HeLa
688	ML1	human	HeLa
690	ML1	human	HeLa
691	ML1	human	HAP1
692	ML1	human	HeLa
693	ML1	human	HeLa
694	ML1	human	HAP1
695	ML1	human	HeLa
697	ML1	human	HeLa
698	ML1	human	HAP1
700	ML1	human	HeLa
702	ML1	human	HAP1
706	ML1	human	HAP1
707	ML1	human	HAP1
710	ML1	human	HeLa
713	ML1	human	HAP1
714	ML1	human	HAP1
715	ML1	human	HeLa
720	ML1	human	HAP1
722	ML1	human	HAP1
727	ML1	human	HAP1
728	ML1	human	HeLa
730	ML1	human	HAP1
733	ML1	human	HAP1
736	ML1	human	HAP1
737	ML1	human	HeLa
739	ML1	human	HAP1
743	ML1	human	HeLa
744	ML1	human	HAP1
746	ML1	human	HeLa
750	ML1	human	HeLa
751	ML1	human	HeLa
752	ML1	human	HeLa
753	ML1	human	HeLa
754	ML1	human	HeLa
757	ML1	human	HAP1
758	ML1	human	HeLa
763	ML1	human	HAP1
765	ML1	human	HeLa
767	ML1	human	HAP1
769	ML1	human	HAP1
770	ML1	human	HeLa
771	ML1	human	HAP1
772	ML1	human	HAP1
775	ML1	human	HAP1
777	ML1	human	HAP1
778	ML1	human	HeLa
780	ML1	human	HAP1
781	ML1	human	HAP1
782	ML1	human	HAP1
783	ML1	human	HeLa
786	ML1	human	HeLa
787	ML1	human	HeLa
788	ML1	human	HeLa
790	ML1	human	HAP1
791	ML1	human	HeLa
794	ML1	human	HeLa
795	ML1	human	HAP1
796	ML1	human	HAP1
798	ML1	human	HeLa
802	ML1	human	HeLa
803	ML1	human	HAP1
806	ML1	human	HeLa
809	ML1	human	HeLa
810	ML1	human	HeLa
817	ML1	human	HAP1
821	ML1	human	HAP1
825	ML1	human	HeLa
829	ML1	human	HeLa
830	ML1	human	HeLa
832	ML1	human	HAP1
835	ML1	human	HeLa
836	ML1	human	HeLa
838	ML1	human	HAP1
839	ML1	human	HeLa
842	ML1	human	HeLa
843	ML1	human	HeLa
846	ML1	human	HAP1
847	ML1	human	HeLa
848	ML1	human	HeLa
855	ML1	human	HeLa
856	ML1	human	HAP1
858	ML1	human	HeLa
859	ML1	human	HAP1
861	ML1	human	HeLa
862	ML1	human	HeLa
864	ML1	human	HeLa
865	ML1	human	HeLa
866	ML1	human	HAP1
867	ML1	human	HeLa
868	ML1	human	HeLa
869	ML1	human	HAP1
872	ML1	human	HeLa
873	ML1	human	HeLa
875	ML1	human	HeLa
879	ML1	human	HeLa
880	ML1	human	HeLa
884	ML1	human	HAP1
885	ML1	human	HeLa
889	ML1	human	HeLa
890	ML1	human	HAP1
891	ML1	human	HAP1
892	ML1	human	HAP1
893	ML1	human	HAP1
895	ML1	human	HeLa
896	ML1	human	HAP1
897	ML1	human	HeLa
898	ML1	human	HeLa
899	ML1	human	HeLa
901	ML1	human	HAP1
902	ML1	human	HeLa
904	ML1	human	HAP1
906	ML1	human	HeLa
909	ML1	human	HeLa
910	ML1	human	HAP1
912	ML1	human	HAP1
915	ML1	human	HeLa
916	ML1	human	HAP1
917	ML1	human	HeLa
919	ML1	human	HAP1
920	ML1	human	HeLa
921	ML1	human	HeLa
922	ML1	human	HeLa
926	ML1	human	HAP1
928	ML1	human	HeLa
929	ML1	human	HAP1
932	ML1	human	HAP1
933	ML1	human	HeLa
934	ML1	human	HAP1
936	ML1	human	HeLa
938	ML1	human	HeLa
939	ML1	human	HeLa
941	ML1	human	HAP1
942	ML1	human	HAP1
943	ML1	human	HAP1
944	ML1	human	HeLa
945	ML1	human	HeLa
948	ML1	human	HAP1
950	ML1	human	HeLa
952	ML1	human	HeLa
955	ML1	human	HeLa
956	ML1	human	HeLa
957	ML1	human	HAP1
959	ML1	human	HeLa
960	ML1	human	HAP1
961	ML1	human	HAP1
962	ML1	human	HeLa
968	ML1	human	HAP1
969	ML1	human	HAP1
970	ML1	human	HAP1
974	ML1	human	HeLa
975	ML1	human	HeLa
978	ML1	human	HeLa
984	ML1	human	HeLa
986	ML1	human	HeLa
987	ML1	human	HeLa
989	ML1	human	HeLa
990	ML1	human	HAP1
991	ML1	human	HAP1
993	ML1	human	HAP1
996	ML1	human	HeLa
997	ML1	human	HAP1
998	ML1	human	HeLa
999	ML1	human	HeLa
1000	ML1	human	HAP1
1001	ML1	human	HeLa
1002	ML1	human	HAP1
1003	ML1	human	HeLa
1004	ML1	human	HeLa
1005	ML1	human	HAP1
1006	ML1	human	HAP1
1007	ML1	human	HAP1
1008	ML1	human	HeLa
1009	ML1	human	HeLa
1010	ML1	human	HAP1
1015	ML2	human	HAP1
1017	ML2	human	HeLa
1019	ML2	human	HeLa
1021	ML2	human	HAP1
1023	ML2	human	HAP1
1025	ML2	human	HeLa
1029	ML2	human	HAP1
1030	ML2	human	HAP1
1032	ML2	human	HeLa
1033	ML2	human	HAP1
1034	ML2	human	HeLa
1035	ML2	human	HeLa
1036	ML2	human	HeLa
1041	ML2	human	HAP1
1043	ML2	human	HeLa
1045	ML2	human	HAP1
1047	ML2	human	HeLa
1048	ML2	human	HeLa
1049	ML2	human	HAP1
1051	ML2	human	HAP1
1053	ML2	human	HeLa
1054	ML2	human	HAP1
1056	ML2	human	HAP1
1059	ML2	human	HAP1
1061	ML2	human	HAP1
1062	ML2	human	HeLa
1064	ML2	human	HAP1
1065	ML2	human	HeLa
1066	ML2	human	HAP1
1067	ML2	human	HAP1
1068	ML2	human	HAP1
1072	ML2	human	HeLa
1073	ML2	human	HAP1
1075	ML2	human	HeLa
1076	ML2	human	HAP1
1078	ML2	human	HAP1
1079	ML2	human	HeLa
1080	ML2	human	HAP1
1081	ML2	human	HeLa
1083	ML2	human	HeLa
1084	ML2	human	HeLa
1085	ML2	human	HAP1
1086	ML2	human	HAP1
1087	ML2	human	HeLa
1088	ML2	human	HAP1
1089	ML2	human	HAP1
1091	ML2	human	HAP1
1092	ML2	human	HAP1
1093	ML2	human	HeLa
1094	ML2	human	HAP1
1096	ML2	human	HeLa
1098	ML2	human	HeLa
1099	ML2	human	HeLa
1107	ML2	human	HAP1
1109	ML2	human	HeLa
1110	ML2	human	HeLa
1112	ML2	human	HAP1
1114	ML2	human	HeLa
1115	ML2	human	HAP1
1116	ML2	human	HAP1
1117	ML2	human	HAP1
1118	ML2	human	HeLa
1121	ML2	human	HeLa
1122	ML2	human	HAP1
1125	ML2	human	HeLa
1130	ML2	human	HAP1
1131	ML2	human	HAP1
1133	ML2	human	HAP1
1135	ML2	human	HeLa
1136	ML2	human	HeLa
1137	ML2	human	HeLa
1138	ML2	human	HeLa
1139	ML2	human	HeLa
1142	ML2	human	HeLa
1143	ML2	human	HeLa
1146	ML2	human	HeLa
1148	ML2	human	HeLa
1151	ML2	human	HeLa
1155	ML2	human	HAP1
1156	ML2	human	HeLa
1157	ML2	human	HAP1
1158	ML2	human	HAP1
1159	ML2	human	HeLa
1161	ML2	human	HAP1
1162	ML2	human	HeLa
1164	ML2	human	HeLa
1165	ML2	human	HAP1
1167	ML2	human	HeLa
1168	ML2	human	HeLa
1169	ML2	human	HeLa
1170	ML2	human	HAP1
1171	ML2	human	HAP1
1174	ML2	human	HeLa
1175	ML2	human	HeLa
1176	ML2	human	HeLa
1182	ML2	human	HAP1
1184	ML2	human	HeLa
1185	ML2	human	HeLa
1186	ML2	human	HAP1
1187	ML2	human	HAP1
1188	ML2	human	HeLa
1190	ML2	human	HeLa
1192	ML2	human	HAP1
1193	ML2	human	HeLa
1194	ML2	human	HAP1
1195	ML2	human	HeLa
1196	ML2	human	HeLa
1197	ML2	human	HeLa
1198	ML2	human	HeLa
1199	ML2	human	HAP1
1200	ML2	human	HAP1
1204	ML2	human	HeLa
1206	ML2	human	HeLa
1209	ML2	human	HeLa
1210	ML2	human	HeLa
1211	ML2	human	HAP1
1214	ML2	human	HeLa
1217	ML2	human	HAP1
1218	ML2	human	HAP1
1219	ML2	human	HeLa
1220	ML2	human	HeLa
1224	ML2	human	HAP1
1226	ML2	human	HAP1
1227	ML2	human	HeLa
1228	ML2	human	HeLa
1230	ML2	human	HeLa
1231	ML2	human	HeLa
1232	ML2	human	HAP1
1233	ML2	human	HeLa
1234	ML2	human	HAP1
1235	ML2	human	HeLa
1236	ML2	human	HeLa
1238	ML2	human	HeLa
1239	ML2	human	HeLa
1240	ML2	human	HeLa
1241	ML2	human	HeLa
1243	ML2	human	HeLa
1244	ML2	human	HeLa
1246	ML2	human	HAP1
1248	ML2	human	HeLa
1249	ML2	human	HeLa
1251	ML2	human	HeLa
1252	ML2	human	HAP1
1255	ML2	human	HeLa
1256	ML2	human	HAP1
1257	ML2	human	HeLa
1259	ML2	human	HAP1
1261	ML2	human	HAP1
1262	ML2	human	HeLa
1263	ML2	human	HAP1
1266	ML2	human	HAP1
1267	ML2	human	HAP1
1268	ML2	human	HeLa
1271	ML2	human	HAP1
1273	ML2	human	HeLa
1275	ML2	human	HeLa
1277	ML2	human	HAP1
1279	ML2	human	HAP1
1281	ML2	human	HAP1
1282	ML2	human	HeLa
1284	ML2	human	HAP1
1285	ML2	human	HeLa
1286	ML2	human	HeLa
1287	ML2	human	HAP1
1289	ML2	human	HeLa
1291	ML2	human	HAP1
1292	ML2	human	HAP1
1296	ML2	human	HeLa
1297	ML2	human	HAP1
1299	ML2	human	HeLa
1300	ML2	human	HAP1
1302	ML2	human	HAP1
1305	ML2	human	HeLa
1309	ML2	human	HeLa
1310	ML2	human	HAP1
1312	ML2	human	HAP1
1313	ML2	human	HeLa
1314	ML2	human	HAP1
1317	ML2	human	HeLa
1318	ML2	human	HAP1
1323	ML2	human	HeLa
1324	ML2	human	HAP1
1325	ML2	human	HeLa
1328	ML2	human	HAP1
1329	ML2	human	HeLa
1330	ML2	human	HeLa
1331	ML2	human	HAP1
1332	ML2	human	HAP1
1335	ML2	human	HAP1
1337	ML2	human	HeLa
1339	ML2	human	HeLa
1340	ML2	human	HAP1
1342	ML2	human	HeLa
1343	ML2	human	HeLa
1346	ML2	human	HAP1
1348	ML2	human	HAP1
1350	ML2	human	HeLa
1352	ML2	human	HeLa
1355	ML2	human	HeLa
1357	ML2	human	HeLa
1360	ML2	human	HeLa
1365	ML2	human	HAP1
1366	ML2	human	HeLa
1367	ML2	human	HeLa
1368	ML2	human	HAP1
1369	ML2	human	HAP1
1372	ML2	human	HAP1
1373	ML2	human	HeLa
1377	ML2	human	HeLa
1378	ML2	human	HeLa
1379	ML2	human	HAP1
1380	ML2	human	HeLa
1382	ML2	human	HAP1
1384	ML2	human	HeLa
1385	ML2	human	HAP1
1389	ML2	human	HeLa
1391	ML2	human	HAP1
1393	ML2	human	HeLa
1396	ML2	human	HAP1
1398	ML2	human	HAP1
1399	ML2	human	HeLa
1400	ML2	human	HAP1
1406	ML2	human	HAP1
1407	ML2	human	HAP1
1409	ML2	human	HeLa
1410	ML2	human	HAP1
1413	ML2	human	HeLa
1416	ML2	human	HeLa
1417	ML2	human	HAP1
1419	ML2	human	HeLa
1424	ML2	human	HeLa
1429	ML2	human	HeLa
1433	ML2	human	HAP1
1435	ML2	human	HeLa
1438	ML2	human	HeLa
1439	ML2	human	HeLa
1442	ML2	human	HeLa
1445	ML2	human	HeLa
1446	ML2	human	HAP1
1448	ML2	human	HeLa
1449	ML2	human	HAP1
1453	ML2	human	HAP1
1454	ML2	human	HAP1
1455	ML2	human	HeLa
1456	ML2	human	HAP1
1459	ML2	human	HAP1
1461	ML2	human	HeLa
1462	ML2	human	HAP1
1464	ML2	human	HAP1
1466	ML2	human	HAP1
1467	ML2	human	HeLa
1468	ML2	human	HAP1
1469	ML2	human	HAP1
1470	ML2	human	HeLa
1475	ML2	human	HAP1
1478	ML2	human	HeLa
1480	ML2	human	HAP1
1481	ML2	human	HAP1
1484	ML2	human	HeLa
1485	ML2	human	HAP1
1488	ML2	human	HAP1
1490	ML2	human	HeLa
1494	ML2	human	HeLa
1498	ML2	human	HAP1
1499	ML2	human	HeLa
1500	ML2	human	HeLa
1504	ML2	human	HAP1
1505	ML2	human	HAP1
1507	ML2	human	HAP1
1512	ML2	human	HAP1
1513	ML2	human	HAP1
1516	ML2	human	HeLa
1518	ML2	human	HAP1
1521	ML2	human	HeLa
1523	ML2	human	HeLa
1525	ML2	human	HAP1
1527	ML2	human	HAP1
1529	ML2	human	HeLa
1530	ML2	human	HAP1
1532	ML2	human	HAP1
1533	ML2	human	HAP1
1534	ML2	human	HeLa
1539	ML2	human	HAP1
1541	ML2	human	HAP1
1542	ML2	human	HeLa
1545	ML2	human	HeLa
1550	ML2	human	HAP1
1554	ML2	human	HAP1
1555	ML2	human	HeLa
1556	ML2	human	HeLa
1557	ML2	human	HAP1
1560	ML2	human	HAP1
1561	ML2	human	HeLa
1562	ML2	human	HAP1
1564	ML2	human	HAP1
1565	ML2	human	HAP1
1566	ML2	human	HeLa
1567	ML2	human	HAP1
1568	ML2	human	HeLa
1569	ML2	human	HeLa
1571	ML2	human	HeLa
1572	ML2	human	HAP1
1573	ML2	human	HeLa
1574	ML2	human	HAP1
1575	ML2	human	HeLa
1576	ML2	human	HAP1
1578	ML2	human	HeLa
1580	ML2	human	HeLa
1584	ML2	human	HAP1
1585	ML2	human	HAP1
1589	ML2	human	HAP1
1591	ML2	human	HAP1
1592	ML2	human	HAP1
1596	ML2	human	HeLa
1598	ML2	human	HAP1
1599	ML2	human	HAP1
1600	ML2	human	HeLa
1604	ML2	human	HeLa
1605	ML2	human	HeLa
1606	ML2	human	HeLa
1609	ML2	human	HAP1
1610	ML2	human	HAP1
1611	ML2	human	HAP1
1612	ML2	human	HAP1
1613	ML2	human	HeLa
1614	ML2	human	HAP1
1615	ML2	human	HeLa
1619	ML2	human	HeLa
1622	ML2	human	HAP1
1624	ML2	human	HeLa
1629	ML2	human	HeLa
1630	ML2	human	HeLa
1631	ML2	human	HeLa
1634	ML2	human	HeLa
1635	ML2	human	HeLa
1636	ML2	human	HeLa
1640	ML2	human	HAP1
1641	ML2	human	HAP1
1643	ML2	human	HAP1
1644	ML2	human	HeLa
1645	ML2	human	HeLa
1646	ML2	human	HeLa
1650	ML2	human	HAP1
1651	ML2	human	HAP1
1652	ML2	human	HeLa
1656	ML2	human	HeLa
1658	ML2	human	HeLa
1659	ML2	human	HeLa
1660	ML2	human	HAP1
1661	ML2	human	HAP1
1662	ML2	human	HeLa
1663	ML2	human	HeLa
1664	ML2	human	HAP1
1665	ML2	human	HeLa
1666	ML2	human	HeLa
1667	ML2	human	HeLa
1668	ML2	human	HAP1
1671	ML2	human	HAP1
1674	ML2	human	HeLa
1675	ML2	human	HAP1
1676	ML2	human	HeLa
1677	ML2	human	HeLa
1680	ML2	human	HeLa
1684	ML2	human	HeLa
1685	ML2	human	HeLa
1686	ML2	human	HAP1
1690	ML2	human	HeLa
1691	ML2	human	HAP1
1693	ML2	human	HeLa
1694	ML2	human	HeLa
1695	ML2	human	HeLa
1696	ML2	human	HAP1
1697	ML2	human	HeLa
1699	ML2	human	HeLa
1702	ML2	human	HeLa
1705	ML2	human	HeLa
1707	ML2	human	HeLa
1708	ML2	human	HeLa
1709	ML2	human	HAP1
1710	ML2	human	HeLa
1711	ML2	human	HeLa
1713	ML2	human	HeLa
1714	ML2	human	HeLa
1716	ML2	human	HAP1
1717	ML2	human	HeLa
1719	ML2	human	HeLa
1720	ML2	human	HAP1
1721	ML2	human	HeLa
1724	ML2	human	HeLa
1725	ML2	human	HAP1
1726	ML2	human	HAP1
1730	ML2	human	HAP1
1731	ML2	human	HAP1
1736	ML2	human	HAP1
1737	ML2	human	HAP1
1738	ML2	human	HAP1
1739	ML2	human	HeLa
1740	ML2	human	HAP1
1742	ML2	human	HeLa
1745	ML2	human	HeLa
1746	ML2	human	HAP1
1747	ML2	human	HeLa
1749	ML2	human	HeLa
1754	ML2	human	HAP1
1757	ML2	human	HeLa
1761	ML2	human	HeLa
1762	ML2	human	HAP1
1765	ML2	human	HeLa
1766	ML2	human	HAP1
1767	ML2	human	HAP1
1769	ML2	human	HAP1
1770	ML2	human	HeLa
1771	ML2	human	HAP1
1773	ML2	human	HeLa
1776	ML2	human	HeLa
1777	ML2	human	HeLa
1779	ML2	human	HeLa
1780	ML2	human	HeLa
1782	ML2	human	HeLa
1787	ML2	human	HAP1
1789	ML2	human	HAP1
1791	ML2	human	HAP1
1792	ML2	human	HAP1
1794	ML2	human	HAP1
1799	ML2	human	HAP1
1800	ML2	human	HeLa
1801	ML2	human	HeLa
1803	ML3	human	GM12878
1804	ML3	human	GM12878
1805	ML3	human	GM12878
1806	ML3	human	GM12878
1807	ML3	human	K562
1808	ML3	human	K562
1809	ML3	human	GM12878
1810	ML3	human	GM12878
1812	ML3	human	GM12878
1813	ML3	human	K562
1814	ML3	human	GM12878
1815	ML3	human	GM12878
1816	ML3	human	GM12878
1817	ML3	human	K562
1818	ML3	human	GM12878
1819	ML3	human	K562
1820	ML3	human	K562
1821	ML3	human	K562
1822	ML3	human	GM12878
1823	ML3	human	K562
1824	ML3	human	GM12878
1825	ML3	human	GM12878
1826	ML3	human	GM12878
1827	ML3	human	K562
1829	ML3	human	K562
1830	ML3	human	K562
1831	ML3	human	GM12878
1832	ML3	human	GM12878
1833	ML3	human	GM12878
1834	ML3	human	GM12878
1836	ML3	human	K562
1837	ML3	human	GM12878
1839	ML3	human	GM12878
1840	ML3	human	K562
1841	ML3	human	GM12878
1842	ML3	human	GM12878
1843	ML3	human	GM12878
1844	ML3	human	K562
1846	ML3	human	GM12878
1848	ML3	human	GM12878
1850	ML3	human	K562
1851	ML3	human	GM12878
1852	ML3	human	K562
1853	ML3	human	GM12878
1854	ML3	human	K562
1856	ML3	human	GM12878
1857	ML3	human	GM12878
1858	ML3	human	K562
1859	ML3	human	GM12878
1860	ML3	human	GM12878
1861	ML3	human	K562
1862	ML3	human	GM12878
1863	ML3	human	K562
1864	ML3	human	GM12878
1866	ML3	human	GM12878
1867	ML3	human	K562
1868	ML3	human	GM12878
1869	ML3	human	K562
1872	ML3	human	GM12878
1873	ML3	human	GM12878
1874	ML3	human	K562
1875	ML3	human	GM12878
1876	ML3	human	GM12878
1877	ML3	human	K562
1878	ML3	human	GM12878
1880	ML3	human	GM12878
1882	ML3	human	GM12878
1883	ML3	human	K562
1884	ML3	human	GM12878
1885	ML3	human	K562
1886	ML3	human	GM12878
1887	ML3	human	GM12878
1888	ML3	human	GM12878
1890	ML3	human	K562
1891	ML3	human	GM12878
1892	ML3	human	GM12878
1893	ML3	human	GM12878
1895	ML3	human	GM12878
1897	ML3	human	GM12878
1898	ML3	human	K562
1901	ML3	human	K562
1903	ML3	human	GM12878
1904	ML3	human	GM12878
1906	ML3	human	K562
1907	ML3	human	GM12878
1908	ML3	human	GM12878
1909	ML3	human	GM12878
1911	ML3	human	GM12878
1913	ML3	human	GM12878
